entity_norm,label,category,count
every day week,DATE,tech,2
every five half months last months,DATE,tech,5
every five months,DATE,politics,1
every four days,DATE,politics,1
every month,DATE,business,1
every month,DATE,politics,1
every month,DATE,tech,8
every month half million,DATE,entertainment,3
every single day,DATE,tech,1
every six months,DATE,tech,2
every week,DATE,business,1
every week,DATE,entertainment,3
every week,DATE,sport,3
every week end,DATE,sport,1
every weeks,DATE,tech,4
every year,DATE,business,6
every year,DATE,entertainment,4
every year,DATE,politics,6
every year,DATE,sport,1
every years,DATE,tech,1
evolution securities,ORG,business,1
ewan,GPE,entertainment,1
ewan mcgregor joint,PERSON,sport,2
excia agent,PERSON,entertainment,1
excolumbia,ORG,business,1
expanded past two years,DATE,business,1
explodes,PERSON,business,1
expm lord,PERSON,politics,1
extras,GPE,entertainment,1
extras,PERSON,entertainment,1
extras,PERSON,tech,1
extras onedisc,PERSON,entertainment,1
exxon,ORG,business,3
exxon planning,ORG,business,1
exxon worlds,ORG,business,1
exyukos boss nevzlin,PERSON,business,1
fabiola zuluaga,ORG,sport,1
fagin charles dickens,PERSON,politics,1
falcon,ORG,business,1
falcon ofheo director,ORG,business,1
falic,ORG,business,1
falic group,ORG,business,2
fall first quarter,DATE,business,1
fall full year,DATE,business,1
fall last quarter,DATE,business,1
fall year,DATE,business,1
fall year,DATE,entertainment,1
fall year earlier,DATE,business,1
fall year march,DATE,business,1
faltskog virtual,ORG,entertainment,1
fame academy,ORG,entertainment,1
familys financial,PERSON,politics,1
fannie mae,ORG,business,13
fannie mae latest,ORG,business,1
fannie maes,ORG,business,3
fantasy set,PERSON,entertainment,1
far kevin morgan,PERSON,sport,1
far year,DATE,politics,1
far year,DATE,sport,1
farda,ORG,politics,2
farina,GPE,sport,2
farina elia,ORG,sport,2
faroe,GPE,sport,5
faroe islands,GPE,sport,1
faroe islands,ORG,sport,3
farrell,PERSON,entertainment,1
farrell saga,ORG,sport,1
fas disciplinary committee,ORG,sport,1
faster vivancos,PERSON,sport,1
fatah,ORG,politics,1
fatboy norman,PERSON,entertainment,1
fatboy slim,ORG,entertainment,1
fate russias yuganskneftegas,ORG,business,1
fathers justice campaign group,ORG,entertainment,1
fatos nano,PERSON,business,1
fault,ORG,sport,1
fawcett mcdonald,PERSON,entertainment,1
faye berkovic berger,PERSON,sport,1
fbi,ORG,business,4
fbi,ORG,entertainment,4
fbi,ORG,tech,8
fbi virus federal bureau,ORG,tech,2
fcc,ORG,entertainment,5
fcc,ORG,tech,2
fcc institute,ORG,entertainment,1
fcc republican,ORG,entertainment,1
february,DATE,business,36
february,DATE,entertainment,49
february,DATE,politics,13
february,DATE,sport,44
february,DATE,tech,19
february black,DATE,entertainment,1
february day,DATE,entertainment,1
february earlier,DATE,sport,1
february five days,DATE,entertainment,2
february january,DATE,business,1
february last month bank,DATE,business,1
february last two weeks sixweek,DATE,sport,1
february march,DATE,business,1
february next year,DATE,entertainment,1
february next year,DATE,tech,3
february second,DATE,business,1
february spring,DATE,politics,2
february tuesdays wednesdays thursdays,DATE,entertainment,1
february year,DATE,entertainment,1
february yearold,DATE,sport,2
fed,ORG,business,25
fed,ORG,entertainment,2
fed,ORG,sport,1
fed,ORG,tech,6
federal communications commission fcc report,ORG,tech,1
federal reserve,ORG,business,6
federal reserve raised key federal funds rate,ORG,business,1
federation knvb,ORG,sport,1
federer joins alltime greats,ORG,sport,1
feet kenny,PERSON,sport,1
feet mcmanaman,PERSON,sport,1
ferdinand,ORG,sport,1
ferguson,ORG,sport,2
ferguson,PERSON,entertainment,1
ferguson,PERSON,sport,4
ferguson everton weekend,ORG,sport,1
ferguson fears milan cutting edge,ORG,sport,1
fernando gonzalez,PERSON,sport,1
fernando morientes,PERSON,sport,2
feroz abbasi london,PERSON,politics,2
ferrari,ORG,business,1
ferrari,ORG,sport,6
ferreriras freekick past keeper,PERSON,sport,1
festival year,DATE,entertainment,1
festive season tuesday,DATE,entertainment,1
fiancee year,DATE,sport,1
fiat,ORG,business,21
fiat,ORG,sport,8
fiat buyout general motors,ORG,business,1
fiat euros,ORG,business,1
fidel castros,PERSON,business,1
fifa,ORG,entertainment,2
fifa,ORG,sport,5
fifth month,DATE,business,1
fifth past two years,DATE,business,1
fifth time year,DATE,business,1
fifth year,DATE,tech,1
fighters month later,DATE,entertainment,1
fightstar,ORG,entertainment,4
fightstar fridays,ORG,entertainment,1
fiji,GPE,sport,1
files conte lawsuit marion jones,PERSON,sport,1
filho associates,ORG,business,1
films lee,PERSON,entertainment,1
final quarter third quarters,DATE,business,1
final week,DATE,politics,1
final week year,DATE,entertainment,1
fine northampton,ORG,sport,1
finish givens,PERSON,sport,1
finish year,DATE,sport,2
finjan,ORG,tech,2
finland,GPE,business,3
finland,GPE,entertainment,3
fintians high school,ORG,entertainment,1
fiona mactaggart,PERSON,politics,1
firebird phoenix,ORG,tech,2
firm week,DATE,business,1
first academy,ORG,entertainment,1
first bank,ORG,business,1
first boston,ORG,business,2
first callup replacement pepito,ORG,sport,1
first cap yearold,DATE,sport,1
first day,DATE,business,4
first day,DATE,entertainment,5
first day,DATE,politics,4
first day,DATE,sport,2
first day,DATE,tech,3
first day next season,DATE,sport,2
first days,DATE,business,1
first decade,DATE,business,2
first eight months,DATE,politics,1
first eleven months,DATE,business,1
first full day,DATE,politics,1
first game year,DATE,sport,1
first goal months,DATE,sport,1
first half,DATE,business,2
first half,DATE,sport,1
first half current fiscal year,DATE,sport,1
first half fiscal year,DATE,business,1
first half next year,DATE,business,1
first half year,DATE,business,3
first international week,DATE,sport,1
first match,DATE,sport,1
first month,DATE,entertainment,1
first month year,DATE,business,2
first months,DATE,business,2
first months season,DATE,sport,1
first months year,DATE,business,1
first nine days,DATE,tech,3
first professional rugby league,ORG,sport,1
first quarter,DATE,business,6
first quarter,DATE,entertainment,1
first quarter,DATE,sport,2
first quarter,DATE,tech,1
first quarter next year,DATE,business,2
first quarter year,DATE,business,1
first rapper cent,ORG,entertainment,1
first recession decade,DATE,business,1
first season,DATE,business,1
first semifinal year,DATE,sport,1
first seven weeks year,DATE,business,1
first six months,DATE,business,2
first six months,DATE,politics,2
first six months fiscal year,DATE,business,1
first star,ORG,sport,1
first three days,DATE,entertainment,2
first three days,DATE,tech,2
first three months,DATE,business,1
first three months,DATE,sport,1
first three months,DATE,tech,2
first time decade,DATE,politics,1
first time decade,DATE,sport,1
first time decades,DATE,business,1
first time half,DATE,tech,2
first time year,DATE,business,1
first time year,DATE,sport,1
first time years,DATE,sport,4
first time years eightminute,DATE,sport,1
first two days,DATE,tech,1
first two months,DATE,business,1
first two weeks,DATE,sport,1
first week,DATE,entertainment,7
first week,DATE,tech,2
first weekend,DATE,entertainment,3
first weekend,DATE,tech,2
first year,DATE,business,1
first year,DATE,entertainment,1
first year,DATE,tech,4
first years,DATE,entertainment,1
fiscal third quarter,DATE,business,1
fiscal year,DATE,business,4
fiscal year recent months,DATE,business,1
five days,DATE,business,1
five days,DATE,entertainment,1
five days,DATE,politics,1
five days,DATE,sport,1
five days,DATE,tech,4
five days later,DATE,sport,2
five days later yearold,DATE,sport,1
five eight,DATE,sport,1
five month,DATE,politics,1
five months,DATE,business,3
five months,DATE,sport,3
five per cent,MONEY,entertainment,1
five pounds,MONEY,entertainment,1
five six years,DATE,business,1
five six years,DATE,tech,3
five six years ago,DATE,entertainment,1
five sixyearold,DATE,entertainment,1
five ten years,DATE,business,1
five week,DATE,entertainment,3
five weeks,DATE,sport,1
five weeks ago,DATE,entertainment,1
five weeks ago,DATE,sport,1
five weeks later,DATE,sport,1
five year,DATE,business,2
five years,DATE,business,14
five years,DATE,entertainment,6
five years,DATE,politics,7
five years,DATE,sport,9
five years,DATE,tech,5
five years ago,DATE,business,4
five years ago,DATE,entertainment,4
five years ago,DATE,politics,2
five years ago,DATE,sport,4
five years ago,DATE,tech,4
five years earlier,DATE,sport,1
five years eight months,DATE,politics,1
fiveandahalf years,DATE,politics,1
fivemonth,DATE,sport,2
fiveyear alliance,ORG,sport,1
fiveyear blueprint immigration,ORG,politics,1
fiveyear immigration,ORG,politics,1
flak labours mps,PERSON,politics,1
flank,ORG,sport,1
flatt earl,PERSON,entertainment,1
fleetboston,PERSON,business,2
fletcher west ham giggs,ORG,sport,1
flipstart,ORG,tech,3
floiran woest,PERSON,business,1
florentino perez,PERSON,sport,1
florentino perez valencia,PERSON,sport,1
florida,GPE,business,2
florida,GPE,entertainment,8
florida,GPE,sport,5
florida state university period time,ORG,entertainment,1
floyd hasselbaink,PERSON,sport,2
fluid leak,PERSON,sport,1
flynn,PERSON,tech,4
flynn vodafone,PERSON,tech,2
fogg,PERSON,entertainment,1
fogg mac,ORG,tech,1
fond kiss,ORG,entertainment,1
fond memories,ORG,business,3
fond memories,ORG,entertainment,1
football association yearold,ORG,sport,1
footsteps farrell,PERSON,sport,1
footsteps microsoft google,ORG,tech,1
footwear pence,MONEY,business,1
ford,ORG,business,10
ford,ORG,entertainment,1
ford,ORG,sport,6
ford general motors,ORG,business,1
foreign ministry,ORG,business,1
form weekend,DATE,sport,1
forsyth,PERSON,politics,1
fortune financial services india,ORG,business,1
forty per cent,MONEY,business,1
forty years,DATE,entertainment,2
four consecutive,DATE,business,2
four days,DATE,business,3
four days,DATE,entertainment,2
four days,DATE,politics,1
four days,DATE,sport,6
four days,DATE,tech,1
four days later,DATE,entertainment,1
four five years,DATE,business,1
four free weeks,DATE,politics,1
four last weeks,DATE,entertainment,2
four month,DATE,sport,1
four months,DATE,business,2
four months,DATE,entertainment,3
four months,DATE,politics,4
four months,DATE,sport,3
four months later,DATE,sport,1
four pence pence,MONEY,business,1
four season,DATE,sport,1
four seasons ago,DATE,sport,1
four times year,DATE,tech,1
four weeks,DATE,entertainment,1
four weeks,DATE,politics,1
four year,DATE,business,1
four year,DATE,sport,1
four years,DATE,business,8
four years,DATE,entertainment,6
four years,DATE,politics,7
four years,DATE,sport,4
four years,DATE,tech,4
four years ago,DATE,business,3
four years ago,DATE,politics,3
four years ago,DATE,sport,3
four years later,DATE,politics,1
four years millennium,DATE,business,1
four years old,DATE,tech,2
fourie africa,GPE,sport,1
fourteen months later,DATE,business,1
fourth day,DATE,business,1
fourth ireland,GPE,sport,1
fourth july,DATE,entertainment,1
fourth last years event year earlier,DATE,sport,1
fourth quarter,DATE,business,31
fourth quarter loss period year earlier,DATE,business,1
fourth quarter next year,DATE,business,2
fourth quarters,DATE,business,1
fourth series,DATE,entertainment,1
fourth time decade,DATE,business,1
fourth title six years,DATE,sport,1
fourth week,DATE,entertainment,1
fourthquarter,DATE,business,2
fox,ORG,business,4
fox,ORG,entertainment,5
fox,ORG,politics,9
fox news,ORG,entertainment,1
foxx face academy,ORG,entertainment,1
fran cosgrave third,PERSON,entertainment,1
france,GPE,business,29
france,GPE,entertainment,20
france,GPE,politics,17
france,GPE,sport,178
france,GPE,tech,23
france champions league marseilles,ORG,sport,2
france club,ORG,sport,1
france days ago,DATE,sport,1
france germany,GPE,business,1
france germany,GPE,entertainment,2
france germany,GPE,politics,1
france ireland,GPE,sport,5
france ireland,GPE,tech,1
france santini,ORG,sport,1
france telecom,ORG,business,1
france twickenham,PERSON,sport,2
francis kabba,PERSON,sport,1
francisco solano,PERSON,entertainment,1
franco frattini,PERSON,politics,1
frank allan bruvik,PERSON,entertainment,2
frank arnesen,PERSON,sport,5
frank capras,PERSON,entertainment,2
frank dancevic,PERSON,sport,1
frank dunn,PERSON,business,1
frank field,PERSON,politics,3
frank frank capra bounded,PERSON,entertainment,1
frank huizinga,PERSON,sport,1
frank lebeouf,PERSON,sport,2
frank lloyd cavalcade,PERSON,entertainment,1
frank pierson,PERSON,entertainment,1
frank sheehan,PERSON,sport,1
frank sinatras,PERSON,entertainment,1
frank sinclair,PERSON,sport,1
frank stone,PERSON,tech,1
frankfurt,GPE,business,7
frankfurt,GPE,politics,1
frankfurt,GPE,tech,5
frankfurt stock exchange,ORG,business,1
franz,ORG,entertainment,26
fraser kemp,PERSON,politics,5
fray silicon graphics columbia supercomputer,PERSON,tech,1
fred goodwin,PERSON,business,1
fred hasson,PERSON,entertainment,2
fred upton chairs committee responsible broadcasting,ORG,entertainment,1
freddie ljungberg,ORG,sport,1
freddie ljungberg,PERSON,sport,1
freddie mac,ORG,business,3
freddie option,ORG,sport,1
freddy jason,PERSON,entertainment,1
freddy krueger star,PERSON,entertainment,1
freddy shepherd,PERSON,sport,2
frederic michalak,PERSON,sport,1
frederic michalak flyhalf,PERSON,sport,1
frederic michalak stade,PERSON,sport,3
frederic michalak yann,PERSON,sport,1
frederic sawicki,PERSON,politics,1
frederick david,PERSON,business,1
frederick forsyth,PERSON,politics,8
free kick mcallister,PERSON,sport,1
free right flank cross,ORG,sport,1
freekick,PERSON,sport,2
freekick midfielder,PERSON,sport,1
freekick yards,PERSON,sport,2
freescale mobile,ORG,tech,1
freeview alternative satellite subscription,ORG,business,1
freeze yukos accounts,PERSON,business,1
friday,DATE,business,45
friday,DATE,entertainment,36
friday,DATE,politics,25
friday,DATE,sport,39
friday,DATE,tech,6
friday day,DATE,sport,1
friday saturday,DATE,tech,1
friday week,DATE,business,1
friday weekend,DATE,sport,1
friday year ago,DATE,business,1
fridays,DATE,business,4
fridays,DATE,entertainment,2
fridays,DATE,politics,1
fridays,DATE,sport,6
fry,PERSON,entertainment,1
fry selfconfessed fan book,ORG,entertainment,1
fsa,ORG,business,1
fujitsu,ORG,business,3
fujitsu,ORG,tech,2
fulham,ORG,sport,2
full house commons action,ORG,politics,1
full month,DATE,sport,1
full name,PERSON,entertainment,1
full year,DATE,business,8
full year,DATE,entertainment,1
full year results march,DATE,business,1
fund year,DATE,business,1
furse day,DATE,business,1
fuso daimlerchrysler,PERSON,business,1
future beach,GPE,entertainment,1
future days,DATE,entertainment,1
future years,DATE,business,1
fword corbett,PERSON,entertainment,1
gabor vincze,PERSON,sport,1
gabriel heinze,PERSON,sport,1
gabriel heinze ferguson,PERSON,sport,1
gabrielle,ORG,business,4
gail berman,PERSON,entertainment,1
gallon jump,PERSON,business,1
game baccarat,ORG,entertainment,1
game year,DATE,tech,4
gameboy,ORG,entertainment,7
gameboy,ORG,tech,1
gameboy advance handhelds,ORG,tech,2
gameboyzz orchestra project improvisational project,ORG,entertainment,2
gareth thomas,PERSON,politics,1
gareth thomas,PERSON,sport,5
gareth thomas mefin davies,PERSON,sport,1
gareth thomas sinbin,PERSON,sport,1
gartner,ORG,business,8
gartner,ORG,entertainment,3
gartner,ORG,tech,1
gartner digital,ORG,entertainment,2
gartner mobiles,ORG,tech,3
gartner people wait see,ORG,business,2
gartner people wait see,ORG,entertainment,1
gartner report mobile broadcasting,ORG,entertainment,2
gartner someone,ORG,business,2
gartner third,PERSON,business,2
gartner third,PERSON,entertainment,1
gary barlow howard donald leading quip,PERSON,entertainment,1
gary dunn,PERSON,entertainment,2
gary lightbody,PERSON,entertainment,1
gary lightbody drummer,PERSON,entertainment,1
gary mcallister vogts,PERSON,sport,1
gary mckendry ashvin kumar,PERSON,entertainment,2
gary mckendry past month,PERSON,entertainment,1
gary megson,PERSON,sport,2
gary mitchell,PERSON,entertainment,1
gary murray glynn,PERSON,sport,1
gary murray mens,PERSON,sport,1
gary neville,PERSON,sport,2
gary odonoghue,PERSON,politics,1
gary oneil,PERSON,sport,1
gary shapiro,PERSON,tech,2
gary stevens,PERSON,sport,1
gary thayer economist,PERSON,business,1
gary thayer edwards,PERSON,business,1
gas corp ongc,ORG,business,1
gatlin hayes,PERSON,sport,1
gatwick edinburgh,PERSON,politics,1
gaudy,PERSON,entertainment,1
gavin cox,PERSON,tech,2
gavin henson,PERSON,sport,4
gavin kerr,PERSON,sport,1
gavin williams,PERSON,sport,1
gay lesbian,PERSON,entertainment,1
gaye years later,DATE,entertainment,1
gaza,GPE,politics,1
gbps times,ORG,business,1
gebremariam,PERSON,sport,1
gemma jackson,PERSON,entertainment,2
geneva,GPE,business,1
geneva motor,ORG,business,1
geneva motor,ORG,sport,2
genie,ORG,entertainment,1
genie,PERSON,politics,1
genre millan,PERSON,entertainment,3
geoff hoon,PERSON,politics,2
geoff hoon ashfield,PERSON,politics,1
geoffrey gilmore,PERSON,entertainment,2
george abbott richard,PERSON,entertainment,1
george boateng mark viduka,PERSON,sport,1
george bush,PERSON,business,13
george bush,PERSON,entertainment,1
george bush,PERSON,politics,10
george bush,PERSON,tech,1
george bush kennedy,PERSON,politics,1
george bush ronald reagan,PERSON,business,1
george bushs,PERSON,business,4
george bushs administration allow dollar,ORG,sport,1
george bushstyle,PERSON,politics,1
george carman,PERSON,entertainment,1
george chuter,PERSON,sport,1
george clooney,PERSON,entertainment,4
george galloway,PERSON,politics,2
george gregan,PERSON,sport,2
george gregan andrew mehrtens,PERSON,sport,2
george lucas,PERSON,entertainment,2
george maguire liam,PERSON,entertainment,1
george mason university,PERSON,business,2
george michael,PERSON,entertainment,5
george michael perform,PERSON,entertainment,1
george michael perform bbc,PERSON,entertainment,1
george orwell,PERSON,politics,1
george osborne,PERSON,business,1
george osborne,PERSON,politics,1
george paris,PERSON,business,1
george raft actor,PERSON,entertainment,1
george scott,PERSON,entertainment,1
george shultz,PERSON,business,1
george soros,PERSON,business,1
george young,PERSON,politics,1
georgia,GPE,entertainment,3
georgia,GPE,politics,2
georgia,GPE,sport,4
georgia,GPE,tech,4
gerald ford,PERSON,business,1
gerald krasner,PERSON,sport,1
geraldine mccaughrean,PERSON,entertainment,1
gerard arpey,PERSON,business,1
gerard houllier,PERSON,sport,1
germaine greer,PERSON,entertainment,1
germany,GPE,business,26
germany,GPE,entertainment,3
germany,GPE,politics,26
germany,GPE,sport,12
germany,GPE,tech,8
germany viotti,ORG,entertainment,2
germanys daimlerchrysler,PERSON,sport,1
gerry ellis,PERSON,tech,2
gerry spindler,PERSON,business,1
ges,ORG,business,1
gestingthorpe one,PERSON,politics,1
gfk,PERSON,entertainment,1
ghana,GPE,sport,1
ghana,GPE,tech,1
ghana worlds,PERSON,tech,1
giannakopoulos,PERSON,sport,1
gianni agnelli,PERSON,business,1
giants,ORG,entertainment,1
giants,ORG,sport,1
giants,ORG,tech,1
gibson bryson jones malone,PERSON,sport,1
gif,ORG,business,2
giggs,ORG,sport,3
giggs,PERSON,sport,2
gigs british,PERSON,entertainment,1
gil cates,PERSON,entertainment,1
gil gerard wilmas,PERSON,entertainment,1
gilbert andy roddick,PERSON,sport,1
gillian anderson,PERSON,entertainment,2
gillingham northampton,PERSON,sport,1
gim gim gim,PERSON,entertainment,1
girvan dempsey,PERSON,sport,1
gisela,GPE,sport,1
giselle,ORG,entertainment,1
giselle,ORG,sport,1
gizmondo,GPE,tech,1
glasgow,PERSON,entertainment,1
glasgow kelvin,PERSON,politics,1
glasgow russell london,PERSON,sport,1
glass menagerie,PERSON,entertainment,1
glastonbury,ORG,entertainment,1
glastonbury,ORG,sport,1
glaxo aims,PERSON,business,1
glazer,PERSON,sport,2
glen johnson,PERSON,sport,2
glenn hoddle,PERSON,sport,2
glenn waller,PERSON,business,1
glickman,PERSON,entertainment,1
global mobile suppliers association,ORG,business,3
globes evans,ORG,entertainment,2
gloucester dawson,PERSON,sport,1
gloucester worsley,PERSON,sport,1
gmc savana sierra yukon nhtsa,ORG,sport,1
gmipoll,ORG,tech,2
gms,ORG,business,1
gmt friday,DATE,sport,1
gmt saturday,DATE,sport,1
gmt stronger day,DATE,business,1
gmt zurich,PERSON,business,1
gner,ORG,tech,4
goa india interpol,ORG,entertainment,1
goat sylvia ben wishaw,PERSON,entertainment,1
godfrey,ORG,business,1
goldeneye rogue,ORG,tech,1
goldsmith,PERSON,politics,8
goode,GPE,sport,1
goode ellis rowntree chuter,PERSON,sport,1
goode smith,PERSON,sport,2
goodison park,GPE,sport,1
goodman,ORG,entertainment,2
goodman,ORG,tech,5
goodrem,PERSON,entertainment,3
goodrem green day,PERSON,entertainment,1
goodwill envoy,PERSON,tech,1
google,ORG,business,16
google,ORG,entertainment,2
google,ORG,tech,36
google news jupiter,ORG,business,2
gordon brown,PERSON,business,22
gordon brown,PERSON,politics,55
gordon brown meeting,PERSON,business,1
gordon brown old,PERSON,politics,1
gordon brown speech chatham,PERSON,politics,1
gordon browns,PERSON,business,7
gordon browns,PERSON,politics,5
gordon bulloch,PERSON,sport,2
gordon bullock scotland,ORG,sport,1
gordon darcy,PERSON,sport,2
gordon darcy back,PERSON,sport,1
gordon lishman,PERSON,politics,1
gordon macklin,PERSON,business,1
gordon rennie,PERSON,entertainment,1
gordon renton,PERSON,tech,2
gordon ross,PERSON,sport,1
gordon stewart,PERSON,business,1
gordon strachan,PERSON,sport,2
gordon united sneering,PERSON,politics,1
gordon webster miller,PERSON,sport,1
gore,PERSON,entertainment,1
gorillaz albums levy,PERSON,business,1
gorur gopinath,PERSON,business,1
gouws,ORG,sport,1
government army board spent,ORG,politics,1
goya,ORG,business,1
graczyk iptv,ORG,entertainment,1
graczyk microsoft,PERSON,entertainment,1
graham,PERSON,entertainment,1
graham,PERSON,politics,1
graham,PERSON,sport,2
graham barlow,PERSON,entertainment,2
graham brady,PERSON,politics,1
graham cluley,PERSON,tech,10
graham coxon,PERSON,business,1
graham henry,PERSON,sport,5
graham henry steve hansen,PERSON,sport,1
graham joining,PERSON,sport,1
graham kiely hreidarsson perry karkouri,PERSON,sport,1
graham king,PERSON,entertainment,2
graham lane,PERSON,politics,1
graham norton,PERSON,entertainment,1
graham riggott,PERSON,sport,1
graham rowntree julian,PERSON,sport,1
graham sherry,PERSON,entertainment,1
graham sherry edwards,PERSON,entertainment,1
graham stuart,PERSON,sport,1
grams,PERSON,entertainment,1
granada,ORG,entertainment,1
grant dean,PERSON,entertainment,2
grant samuel,PERSON,business,1
grant thornton,PERSON,business,1
grant thornton,PERSON,sport,1
grant wilson mellon bank,PERSON,sport,1
grant yukos bankruptcy protection yukos,PERSON,business,1
gray southampton hoddle,ORG,sport,1
graz gameplan,PERSON,sport,1
graz scored equaliser injury,ORG,sport,1
graz winger,ORG,sport,1
great milan,ORG,sport,2
great weekend,DATE,sport,1
great year,DATE,business,1
greece italy,ORG,business,1
greece serena williams fourth,PERSON,sport,1
greed morrison,PERSON,entertainment,1
greek athletics federation,ORG,sport,4
greek athletics federation segas,ORG,sport,1
greek federation court arbitration sport iaaf,ORG,sport,1
greek federation segas,ORG,sport,1
greek olympic committee,ORG,sport,1
green day,DATE,business,2
green day,DATE,entertainment,8
green days,DATE,business,2
greenpeace,PERSON,business,1
greenspan,PERSON,business,7
greenspans speech london,PERSON,business,1
gref,PERSON,business,1
greg anderson,PERSON,sport,1
greg rusedski,PERSON,sport,3
gregan australia,ORG,sport,1
gregory lamboley stade toulousain,ORG,sport,3
gretchen wilson,PERSON,entertainment,1
gretchen wilson lynyrd skynyrd,PERSON,entertainment,1
grew carson hosted,PERSON,entertainment,1
grey,ORG,entertainment,1
grey,ORG,politics,1
grey area personal data,ORG,politics,1
grey thompson london,ORG,sport,1
grey vote,ORG,politics,2
griffen calvisano pedrazzi,PERSON,sport,1
grigoris ioanidis,PERSON,sport,1
groin injury,ORG,sport,1
group usa africa,ORG,entertainment,1
groups league cruel,ORG,sport,1
groups little thailand india however,ORG,business,1
groups mobile,ORG,tech,1
gsi,ORG,sport,1
gsm,ORG,tech,1
guantanamo bay home affairs,ORG,politics,1
guardsman allan,ORG,politics,1
guido gybels,PERSON,tech,1
guillermo,GPE,sport,2
guillermo coria,PERSON,sport,1
guitar,ORG,entertainment,2
gulf mexico,GPE,tech,3
gunter grass germany,PERSON,entertainment,1
guscott especially,PERSON,sport,1
gustavo kuerten,PERSON,sport,1
gustavo parente,PERSON,sport,1
gutsy victory,PERSON,sport,1
gwen stefani,PERSON,business,3
gwyneth paltrow,ORG,entertainment,1
hacan,GPE,politics,3
hacienda club,ORG,entertainment,1
hackett,PERSON,sport,1
hackford,GPE,entertainment,1
hague,PERSON,politics,2
haifa club,ORG,sport,1
haile gebrselassie,PERSON,sport,1
haisheng rong richard,PERSON,tech,4
half billion dollars,MONEY,business,1
halfhour,PERSON,entertainment,1
halftime milan,ORG,sport,1
halftime williams,PERSON,sport,1
halifax,ORG,business,1
halifax house,ORG,business,2
hallam,GPE,politics,1
hallam bristol,PERSON,business,1
halliburton,GPE,business,1
halloween,DATE,entertainment,4
halo,ORG,tech,4
halobungieorg,ORG,tech,2
halve uss,PERSON,business,1
hamann carragher,PERSON,sport,1
hamann harrison,PERSON,sport,1
hamann riise kewell,PERSON,sport,1
hamilton,PERSON,entertainment,2
hamilton,PERSON,politics,1
hamilton,PERSON,sport,1
hamilton europe,ORG,business,1
hamilton mccarthy harris dowson,PERSON,sport,1
hamish macdonell,PERSON,politics,1
hanif yearold,PERSON,entertainment,1
hank williams,PERSON,entertainment,3
hannah ward refugee council,ORG,politics,1
hanningfield leader,PERSON,politics,1
hans christian,PERSON,entertainment,3
hans christian anderson school,PERSON,entertainment,1
hans distributing,PERSON,entertainment,1
hans eichel,PERSON,sport,1
hans goetti,PERSON,business,1
hans reckers board,PERSON,business,1
hans straberg,PERSON,business,1
hansen,PERSON,sport,1
hanswerner sinn,PERSON,business,1
hapoel bnei,PERSON,sport,1
harbin south china morning post,ORG,business,1
hard week,DATE,sport,1
harden opecs,ORG,business,1
harding,PERSON,entertainment,1
hardwick kennedy casey gustard dawson,PERSON,sport,1
harel levy,PERSON,sport,1
hari count dracula,PERSON,entertainment,1
hari kunzru,PERSON,entertainment,1
harinordoquy biarritz,PERSON,sport,1
harlin,PERSON,entertainment,1
harold bloom,PERSON,entertainment,1
harold kumar,PERSON,entertainment,1
harold wilson,PERSON,politics,4
harrow crown,PERSON,entertainment,1
harrow farah,PERSON,sport,1
harry,PERSON,entertainment,1
harry,PERSON,politics,8
harry,PERSON,sport,1
harry belafonte,PERSON,entertainment,2
harry connick,PERSON,entertainment,1
harry ellis,PERSON,sport,3
harry ellis jamie,PERSON,sport,1
harry ellis jamie noon,PERSON,sport,1
harry hill,PERSON,entertainment,1
harry hope,PERSON,sport,1
harry kewell,PERSON,sport,2
harry lee,PERSON,entertainment,1
harry nazi,PERSON,politics,1
harry potter,PERSON,business,5
harry potter,PERSON,entertainment,20
harry potter,PERSON,tech,2
harry potter dvd,PERSON,entertainment,1
harry potters,PERSON,entertainment,1
harry prince william country,PERSON,politics,1
harry redknapp,PERSON,sport,4
harry ron hermione,PERSON,entertainment,1
harry secombe,PERSON,entertainment,1
harry steps,PERSON,entertainment,1
hart,PERSON,sport,1
hart anderson diamond,PERSON,sport,1
hartley neilson mcallister,PERSON,sport,1
harvard,ORG,business,1
harvard,ORG,entertainment,1
harvard,ORG,tech,2
harvard school public health wef report concludes,ORG,business,1
harvey best,PERSON,entertainment,2
harvey keitel,PERSON,entertainment,1
hassan shehata,PERSON,sport,1
hasson,PERSON,entertainment,4
hatley van der,PERSON,sport,1
hattersley,PERSON,politics,1
havana,GPE,entertainment,1
hayley yelling,PERSON,sport,2
hayley yelling justyna bak,PERSON,sport,1
hazards magazine conducted research,ORG,business,1
hazel blears,PERSON,politics,2
hazel blears,PERSON,tech,1
hazell,ORG,sport,1
hazell dawson,PERSON,sport,2
hazell dawson paul cohen,PERSON,sport,1
hazell hill,ORG,sport,1
hbo,ORG,entertainment,2
hbo,PERSON,entertainment,1
hbos bank financial details,ORG,business,1
header william gallas,PERSON,sport,1
headon bmw mercedes jaguar,PERSON,sport,1
headtohead lewisfrancis,PERSON,sport,1
health department state hospital,ORG,politics,1
hear week,DATE,business,1
hearts keeper,PERSON,sport,1
hearts livingston hearts,PERSON,sport,1
heathrow,DATE,business,1
heathrow baa,PERSON,politics,1
heathrow gatwick,PERSON,politics,1
heathrow gatwick edinburgh,PERSON,politics,1
hectare texas ranch,ORG,sport,1
heikkinen foster,PERSON,sport,1
