entity,label,category
gloucester dawson,PERSON,sport
goode,GPE,sport
alex fergusons,PERSON,sport
newcastle,GPE,sport
tottenham nottingham,PERSON,sport
weekend,DATE,sport
next tuesday,DATE,sport
saturday,DATE,sport
west ham,GPE,sport
newcastle,GPE,sport
nottingham forest,ORG,sport
united bolton arsenal,ORG,sport
united burnley blackburn,ORG,sport
april,DATE,sport
qatar,GPE,sport
campbell,ORG,sport
united feud,ORG,sport
campbell called rivalry,ORG,sport
tuesday,DATE,sport
last october,DATE,sport
unbeaten league,PERSON,sport
alex ferguson,PERSON,sport
campbell one,PERSON,sport
campbell,ORG,sport
five years,DATE,sport
italy,GPE,sport
spain,GPE,sport
colin charvis,PERSON,sport
physio mark,ORG,sport
sonny parker,PERSON,sport
france,GPE,sport
scott johnson,PERSON,sport
robin mcbryde,PERSON,sport
paris,GPE,sport
last saturday,DATE,sport
week,DATE,sport
steve,PERSON,sport
liverpool,GPE,sport
rafael benitez,PERSON,sport
lomana lualua,ORG,sport
steven gerrard,PERSON,sport
liverpool,GPE,sport
matthew taylor,PERSON,sport
liverpool,GPE,sport
derby defeat everton,ORG,sport
newcastle,GPE,sport
mike tindall seek,PERSON,sport
february,DATE,sport
mike specialist,ORG,sport
england,GPE,sport
simon kemp,PERSON,sport
england,PERSON,sport
andy robinson,PERSON,sport
richard hill,PERSON,sport
wilkinson,PERSON,sport
monday,DATE,sport
newcastles yearold,ORG,sport
mathew tait,PERSON,sport
jamie noon,PERSON,sport
zurich,GPE,sport
season april,DATE,sport
new zealand,GPE,sport
summer,DATE,sport
italy,GPE,sport
italy,GPE,sport
peter stringer,PERSON,sport
italy,GPE,sport
ludovico nitoglia,ORG,sport
denis hickies,PERSON,sport
italy,GPE,sport
ireland,PERSON,sport
roland marigny,PERSON,sport
italy,GPE,sport
italy,GPE,sport
italy,GPE,sport
maul ogara penalty,PERSON,sport
italy,GPE,sport
martin castrogiovanni,PERSON,sport
masi nitoglia,ORG,sport
castrogiovanni,ORG,sport
bortolami persico,PERSON,sport
bergamasco parisse,ORG,sport
perugini intoppa,PERSON,sport
del fava,ORG,sport
maso griffen,PERSON,sport
robertson murphy,PERSON,sport
miller,ORG,sport
humphreys dempsey obrien,PERSON,sport
new zealand,GPE,sport
year,DATE,sport
edinburgh,GPE,sport
tuesday,DATE,sport
wednesday,DATE,sport
scot,PERSON,sport
two years,DATE,sport
three weeks,DATE,sport
radcliffe,PERSON,sport
paula radcliffe,PERSON,sport
france,GPE,sport
london,GPE,sport
april,DATE,sport
zara hyde,PERSON,sport
tuesday,DATE,sport
hayley yelling,PERSON,sport
last years,DATE,sport
brussels,GPE,sport
odriscollgregan lead aid,PERSON,sport
match twickenham,PERSON,sport
george gregan,PERSON,sport
tana umaga,PERSON,sport
springboks john smit,PERSON,sport
cobus,ORG,sport
gordon bulloch,PERSON,sport
france,GPE,sport
ollie smith,PERSON,sport
john wells,PERSON,sport
bbc radio,ORG,sport
weekend week,DATE,sport
england,GPE,sport
simon taylor,PERSON,sport
chris paterson wales,PERSON,sport
paul,PERSON,sport
williams,PERSON,sport
celtic league,ORG,sport
ceri,ORG,sport
john yapp jonathan thomas,PERSON,sport
steve,PERSON,sport
friday,DATE,sport
england,GPE,sport
odriscoll ireland,GPE,sport
traille france,ORG,sport
smith england,ORG,sport
humphreys ireland,GPE,sport
cicero italy,ORG,sport
france,GPE,sport
france,GPE,sport
ireland bortolami,ORG,sport
italy,GPE,sport
thomas wales taylor,PERSON,sport
scotland dallaglio england,ORG,sport
italy,GPE,sport
latham australia,PERSON,sport
lima,GPE,sport
new zealand,GPE,sport
mehrtens gregan aus capt,ORG,sport
aus kefu aus,ORG,sport
tonga guinazu argentina,PERSON,sport
bbc,ORG,sport
bbc,ORG,sport
bbc,ORG,sport
liverpool,GPE,sport
bbc,ORG,sport
liverpool,GPE,sport
alan hansen,PERSON,sport
morgan parry,ORG,sport
liverpool,ORG,sport
july,DATE,sport
summer,DATE,sport
rafael benitez,PERSON,sport
striker fernando morientes,PERSON,sport
madrid,GPE,sport
liverpool,GPE,sport
first day next season,DATE,sport
liverpool,GPE,sport
next season,DATE,sport
liverpool,GPE,sport
summer,DATE,sport
last summer,DATE,sport
last summer,DATE,sport
summer,DATE,sport
stanley park,GPE,sport
liverpool,GPE,sport
liverpool,GPE,sport
steve morgan,PERSON,sport
liverpool,GPE,sport
steve,PERSON,sport
late day,DATE,sport
december,DATE,sport
next months,DATE,sport
last year,DATE,sport
liverpool,GPE,sport
liverpool,GPE,sport
michael owen,PERSON,sport
johnson,PERSON,sport
benita johnson,PERSON,sport
zornotza amorebieta,PERSON,sport
spain,GPE,sport
johnson,PERSON,sport
masai masais fellow kenyan alice timbilil,PERSON,sport
third johnson,PERSON,sport
last month,DATE,sport
paula radcliffe,PERSON,sport
january,DATE,sport
sunday,DATE,sport
groin injury,ORG,sport
january,DATE,sport
justine heninhardenne,PERSON,sport
sunday,DATE,sport
lisa raymond,PERSON,sport
karol,ORG,sport
lindsay davenport,PERSON,sport
tuesday,DATE,sport
owen,PERSON,sport
madrid,GPE,sport
england,GPE,sport
michael owen,PERSON,sport
bbc,ORG,sport
spain,GPE,sport
bbc radio five,ORG,sport
england,GPE,sport
liverpool,GPE,sport
last summer,DATE,sport
spain,GPE,sport
year,DATE,sport
newcastle,GPE,sport
england striker,PERSON,sport
liverpool,GPE,sport
owen,ORG,sport
madrid,GPE,sport
sunday,DATE,sport
juan carlos ferrero,PERSON,sport
world year,DATE,sport
bbc sport,ORG,sport
juan carlos,PERSON,sport
david nalbandian,PERSON,sport
last week,DATE,sport
last season,DATE,sport
december last year,DATE,sport
davis,PERSON,sport
two three months,DATE,sport
zero per cent,MONEY,sport
another two months five months,DATE,sport
spain,GPE,sport
jordi arrese,PERSON,sport
davis cup final usa,PERSON,sport
year,DATE,sport
two days,DATE,sport
friday,DATE,sport
friday,DATE,sport
holmes starts,PERSON,sport
britain,GPE,sport
february,DATE,sport
earlier month,DATE,sport
plane greece glasgow meeting,PERSON,sport
france,GPE,sport
russia,GPE,sport
italy,GPE,sport
jose mourinho,PERSON,sport
barcelona,GPE,sport
bobby robson louis van gaal,PERSON,sport
years,DATE,sport
five years,DATE,sport
madrid,GPE,sport
united striker,ORG,sport
next season,DATE,sport
august,DATE,sport
daily,DATE,sport
eight months,DATE,sport
league club,ORG,sport
years,DATE,sport
files conte lawsuit marion jones,PERSON,sport
balco boss victor,ORG,sport
february,DATE,sport
wednesday,DATE,sport
district court,ORG,sport
san francisco,GPE,sport
abc television,ORG,sport
earlier month,DATE,sport
richard,PERSON,sport
nick davies,PERSON,sport
august,DATE,sport
parry relishes,ORG,sport
bbc,ORG,sport
rick parry,PERSON,sport
helm liverpool,PERSON,sport
liverpool,GPE,sport
days,DATE,sport
united arsenal,ORG,sport
steven gerrard,PERSON,sport
months,DATE,sport
liverpool,GPE,sport
liverpool,GPE,sport
rafael benitez,PERSON,sport
years,DATE,sport
liverpool,GPE,sport
thailand,GPE,sport
thaksin,PERSON,sport
steve morgan,PERSON,sport
bbc,ORG,sport
liverpool,GPE,sport
liverpool,GPE,sport
last december,DATE,sport
liverpool,GPE,sport
liverpool,GPE,sport
london,GPE,sport
liverpool,GPE,sport
liverpool,GPE,sport
liverpool,GPE,sport
michael owen,PERSON,sport
jansen,PERSON,sport
striker matt jansen,PERSON,sport
three weeks,DATE,sport
mark bowen,PERSON,sport
matt small,PERSON,sport
two years ago,DATE,sport
two three weeks,DATE,sport
present weeks,DATE,sport
ian millward,PERSON,sport
next week,DATE,sport
february,DATE,sport
kieron cunninghams,PERSON,sport
bobby robson,PERSON,sport
newcastle,GPE,sport
six years,DATE,sport
last couple weeks,DATE,sport
last eight months,DATE,sport
january,DATE,sport
jens lehmann,PERSON,sport
sunday,DATE,sport
fault,ORG,sport
tuesday,DATE,sport
last weeks,DATE,sport
birmingham,GPE,sport
earlier week,DATE,sport
edwin van der sar parmas,PERSON,sport
england international,ORG,sport
stuart taylor,PERSON,sport
johnson,PERSON,sport
june,DATE,sport
england,GPE,sport
martin johnson,PERSON,sport
johnson,PERSON,sport
johnson england,ORG,sport
two months,DATE,sport
june,DATE,sport
johnson,PERSON,sport
next season,DATE,sport
another season,DATE,sport
week week,DATE,sport
johnson,PERSON,sport
australia,GPE,sport
slam johnson,PERSON,sport
johnson,PERSON,sport
new zealand,GPE,sport
jonah lomu,PERSON,sport
johnson,PERSON,sport
johnson lomu,PERSON,sport
lomu,PERSON,sport
last year,DATE,tech
britain,GPE,tech
chris,PERSON,tech
monthly,DATE,tech
london,GPE,tech
recent months,DATE,tech
south korea,GPE,tech
france,GPE,tech
south korea,GPE,tech
texas,GPE,business
texas,GPE,business
texas,GPE,business
texas,GPE,business
texas,GPE,business
intel,ORG,business
next year,DATE,business
sony,ORG,business
earlier january,DATE,business
docomo vodafone,ORG,business
france,GPE,business
sony,ORG,tech
next months,DATE,tech
xbox,ORG,tech
xenon nintendos,ORG,tech
first year,DATE,tech
microsoft delivered development,ORG,tech
sony,ORG,tech
xbox,ORG,tech
microsoft,ORG,tech
sony,ORG,tech
las vegas,GPE,tech
xbox,ORG,tech
first year,DATE,tech
simon gardner,PERSON,tech
dan glickman,PERSON,entertainment
coming months,DATE,entertainment
glickman,PERSON,entertainment
november,DATE,entertainment
january,DATE,entertainment
william trowbridge,PERSON,entertainment
michael chicoine pleaded,PERSON,entertainment
virginia,GPE,tech
nine years,DATE,tech
jessica degroot,PERSON,tech
next year,DATE,tech
richard rutkowski,PERSON,tech
russell mcguire,PERSON,tech
days,DATE,tech
virginia,GPE,tech
jerry kilgore,PERSON,tech
years,DATE,tech
david oblon,PERSON,tech
north carolina,GPE,tech
virginia,GPE,tech
gulf mexico,GPE,tech
february next year,DATE,tech
june,DATE,tech
november,DATE,tech
cynthia musselman,PERSON,tech
question trust technology,ORG,tech
bill thompson,PERSON,tech
couple weeks ago,DATE,tech
several days,DATE,tech
last week,DATE,tech
microsoft,ORG,tech
four days,DATE,tech
bbc,ORG,tech
today,DATE,tech
friday,DATE,tech
friday,DATE,tech
tuesday,DATE,tech
microsoft,ORG,tech
week,DATE,tech
bbc world,ORG,tech
mci deutsche,ORG,tech
ntt bell canada,ORG,tech
rob pollard,PERSON,tech
malcolm,PERSON,tech
last months,DATE,tech
nintendo,ORG,entertainment
gameboy,ORG,entertainment
sony,ORG,entertainment
later year,DATE,entertainment
david yarnton nintendo,PERSON,entertainment
nintendo,ORG,entertainment
japan,GPE,entertainment
first quarter,DATE,entertainment
japan,GPE,entertainment
title year,DATE,entertainment
san andreas players,ORG,entertainment
nine days,DATE,entertainment
november,DATE,entertainment
year end,DATE,entertainment
sony,ORG,entertainment
stellar year,DATE,entertainment
roger bennett,PERSON,entertainment
elspa year,DATE,entertainment
harry potter,PERSON,entertainment
xbox,ORG,entertainment
james goodman,PERSON,tech
goodman,ORG,tech
goodman,ORG,tech
goodman,ORG,tech
goodman,ORG,tech
romanian prepay mobile,ORG,tech
goodman,ORG,tech
years,DATE,tech
monthly,DATE,business
paul myers,PERSON,business
next months,DATE,business
microsoft,ORG,business
samsung rio creative,ORG,business
monthly,DATE,business
three years,DATE,business
next month,DATE,business
ipod latest mobile,ORG,business
west edmonton alberta,ORG,tech
friday saturday,DATE,tech
september,DATE,business
wednesday,DATE,business
wednesday,DATE,business
november,DATE,business
bbc news,ORG,business
september,DATE,business
bbc news,ORG,business
january,DATE,business
months,DATE,business
year,DATE,business
last week,DATE,business
monday,DATE,business
next year,DATE,business
lifestyle governs mobile,ORG,tech
michael bjorn,PERSON,tech
bbc news,ORG,tech
five years ago,DATE,tech
japan,GPE,tech
snap least month,DATE,tech
sony,ORG,business
japan,GPE,business
sunday,DATE,business
next year,DATE,business
sony,ORG,business
years,DATE,business
sony,ORG,business
earlier year,DATE,business
japan yen,ORG,business
japan,GPE,business
sony,ORG,entertainment
annual,DATE,entertainment
los angeles,GPE,entertainment
last week,DATE,entertainment
san francisco,GPE,entertainment
james cameron,PERSON,entertainment
xbox,ORG,entertainment
least months,DATE,entertainment
today,DATE,entertainment
robert walsh,PERSON,entertainment
two years,DATE,entertainment
sony,ORG,entertainment
wright,PERSON,entertainment
george lucas,PERSON,entertainment
wright,PERSON,entertainment
decade ago,DATE,entertainment
twoday,DATE,entertainment
five years ago,DATE,entertainment
year,DATE,entertainment
john batter,PERSON,entertainment
mobile mobile,PERSON,entertainment
next months,DATE,entertainment
apple,ORG,politics
mac mini,PERSON,politics
december,DATE,politics
apple,ORG,politics
jason,PERSON,politics
tom goldstein,PERSON,politics
school university,ORG,politics
dan gillmor,PERSON,politics
japan,GPE,tech
livermore national laboratory department energy,ORG,tech
ibm,ORG,tech
nec,ORG,tech
monday,DATE,tech
every six months,DATE,tech
next year,DATE,tech
four times year,DATE,tech
silicon graphics columbia supercomputer,ORG,tech
nasa,ORG,tech
california,GPE,tech
october,DATE,tech
june,DATE,tech
los alamos national laboratory,ORG,tech
next year,DATE,tech
pittsburgh,GPE,tech
sony,ORG,tech
last years,DATE,tech
sharps mobile,ORG,tech
years,DATE,tech
next year,DATE,tech
launch psp,PERSON,tech
mike mcguire,PERSON,business
gartner,ORG,business
bbc news,ORG,business
last year,DATE,business
summer,DATE,business
texas,GPE,sport
hectare texas ranch,ORG,sport
john underwood,PERSON,sport
year ago,DATE,sport
reuters news agency,ORG,sport
years,DATE,sport
texas,GPE,sport
blackbuck antelope,PERSON,sport
texas,GPE,sport
mike berger,PERSON,sport
texas,GPE,sport
almost quarter,DATE,sport
lee rainie,PERSON,sport
sony,ORG,tech
annual,DATE,tech
toshiba,ORG,tech
intel,ORG,tech
paul trotter news,PERSON,tech
sony,ORG,tech
sony,ORG,tech
year,DATE,tech
december,DATE,tech
december,DATE,tech
july,DATE,tech
last twelve months,DATE,tech
last months,DATE,tech
oxford university press,ORG,tech
last year,DATE,tech
days,DATE,tech
bush,PERSON,tech
cbs,ORG,tech
every five half months last months,DATE,tech
less quarter,DATE,tech
another trend year,DATE,tech
daily,DATE,tech
supreme court,ORG,tech
several years,DATE,tech
supreme court,ORG,tech
intel,ORG,tech
supreme court,ORG,tech
earlier month,DATE,tech
sony,ORG,tech
sony,ORG,tech
betamax,PERSON,tech
past years,DATE,tech
gary shapiro,PERSON,tech
supreme court,ORG,tech
stephen breyer,PERSON,tech
david souter,PERSON,tech
cea boss,PERSON,tech
supreme court,ORG,tech
xbox,ORG,business
microsoft,ORG,business
october,DATE,business
january,DATE,business
microsoft,ORG,business
xboxes,ORG,business
microsoft home entertainment division,ORG,business
microsoft,ORG,business
two four weeks,DATE,business
xbox,ORG,business
end year,DATE,business
last three months quarter,DATE,business
britain,GPE,business
germany,GPE,business
germany,GPE,business
netherlands,GPE,business
paul reynolds,PERSON,business
three months,DATE,business
apple mac,ORG,tech
macintosh,ORG,tech
apple,ORG,tech
usb,ORG,tech
keyboard mouse,PERSON,tech
dvd burner,PERSON,tech
apple,ORG,tech
intel,ORG,tech
inch monitor,PERSON,tech
keyboard mouse,PERSON,tech
dvd burner,PERSON,tech
mac mini,ORG,tech
mouse keyboard,PERSON,tech
nick ross,PERSON,tech
gavin cox,PERSON,tech
cox mac,ORG,tech
christmas,DATE,tech
christmas,DATE,tech
microsoft,ORG,tech
christmas,DATE,tech
suffix,GPE,tech
italy,GPE,tech
spain,GPE,tech
bulgaria,GPE,tech
hungary,GPE,tech
zafi virus,PERSON,tech
april year,DATE,tech
antitremor mouse,PERSON,tech
karen walsh,PERSON,tech
ibm,ORG,tech
jim levine,PERSON,tech
ibm,ORG,tech
last year,DATE,tech
first time half,DATE,tech
britain,GPE,tech
las vegas,GPE,business
bbc news,ORG,business
previous years,DATE,business
last years,DATE,business
cea,ORG,business
stephen baker,PERSON,business
npd group,ORG,business
microsoft,ORG,business
sony,ORG,business
japan,GPE,business
sony,ORG,business
bbc news,ORG,business
sony,ORG,business
inch metre,PERSON,business
las vegas,GPE,business
january,DATE,business
digital,ORG,tech
nicholas negroponte chairman,PERSON,tech
bbc world,ORG,tech
cambodia,GPE,tech
three years ago,DATE,tech
nokia,ORG,tech
year,DATE,tech
five years,DATE,tech
china,GPE,tech
five six years,DATE,tech
nadia magnenatthalman,PERSON,tech
swiss research,ORG,tech
andrew stoddart,PERSON,tech
jeeves joins,PERSON,business
jeeves bought,PERSON,business
jeeves,ORG,business
google,ORG,business
yahoo,ORG,business
jim lanzone,PERSON,business
jeeves much,PERSON,business
big year,DATE,tech
last year,DATE,tech
pmc archos series,ORG,tech
las vegas,GPE,tech
friday,DATE,tech
archos,ORG,tech
mike coleman,PERSON,tech
bbc news,ORG,tech
coming year,DATE,tech
january,DATE,tech
sun,PERSON,tech
jonathan schwartz,PERSON,tech
quarterly,DATE,tech
california,GPE,tech
ibm,ORG,tech
nicholas lee jacobsen,PERSON,business
october,DATE,business
year,DATE,business
peter dobrow tmobile spokesperson,PERSON,business
los angeles,GPE,business
march october,DATE,business
around week,DATE,business
virgin megastores,PERSON,business
wifi virgin,PERSON,business
later year,DATE,business
hewlett packard,ORG,business
january,DATE,business
gwen stefani,PERSON,business
summer,DATE,business
early year,DATE,business
every day,DATE,business
eighty per cent,MONEY,business
microsoft,ORG,business
next months,DATE,business
mtv,ORG,business
years,DATE,business
mtv asia music award mtvs asia,ORG,business
february,DATE,business
western kenya,ORG,tech
matthew herren,PERSON,tech
bbc,ORG,tech
every day,DATE,tech
google,ORG,tech
last year,DATE,tech
japan asia pacific,ORG,tech
japan,GPE,tech
gartner mobiles,ORG,tech
last months,DATE,tech
next month,DATE,tech
david bailey,PERSON,tech
peter blake tracey,PERSON,tech
jack vettriano,PERSON,tech
sony,ORG,tech
three months,DATE,tech
september,DATE,tech
european union,ORG,entertainment
cctv pictures software,ORG,entertainment
bbc,ORG,entertainment
doug williams nms technical project manager,PERSON,entertainment
nms,ORG,entertainment
peter stollenmayer,PERSON,entertainment
new genre,ORG,entertainment
john wyver,PERSON,entertainment
lima,GPE,tech
three years,DATE,tech
september,DATE,tech
carlos saldarriaga,PERSON,tech
three years,DATE,tech
huaralorg,ORG,tech
bbc news,ORG,tech
last three years,DATE,tech
cuyo,ORG,tech
carlos saldarriaga,PERSON,tech
microsoft,ORG,tech
summer,DATE,tech
microsoft,ORG,tech
san francisco,GPE,tech
earlier month,DATE,tech
browser microsoft,PERSON,tech
last month,DATE,tech
microsoft,ORG,tech
microsoft,ORG,tech
four years old,DATE,tech
november,DATE,tech
fed,ORG,tech
fed,ORG,tech
tim danton,PERSON,tech
every month,DATE,tech
month,DATE,tech
tim danton,PERSON,tech
ofcom,ORG,tech
gameboy,ORG,entertainment
poland,GPE,entertainment
gameboy,ORG,entertainment
norman cook,PERSON,entertainment
jarek kujda,PERSON,entertainment
three four years ago first,DATE,entertainment
gameboy,ORG,entertainment
kujda,PERSON,entertainment
kujda,PERSON,entertainment
gameboyzz orchestra project improvisational project,ORG,entertainment
kudja prepare,PERSON,entertainment
kujda,PERSON,entertainment
jarek kujda,PERSON,entertainment
next year,DATE,entertainment
poland,GPE,entertainment
days,DATE,entertainment
clark boyd,PERSON,entertainment
bbc world,ORG,entertainment
bush,PERSON,business
george bush,PERSON,business
monday,DATE,business
bush,PERSON,business
october,DATE,business
london,GPE,business
canada,GPE,business
george bush,PERSON,business
mike prettejohn,PERSON,business
november,DATE,business
next week,DATE,business
days,DATE,business
past decade,DATE,sport
last year,DATE,sport
sega name,PERSON,sport
early next year,DATE,sport
barcelona,GPE,sport
madrid milan,ORG,sport
microsoft,ORG,tech
microsoft,ORG,tech
aol yahoo,PERSON,tech
microsoft,ORG,tech
john connors,PERSON,tech
end year,DATE,tech
google,ORG,tech
microsoft yahoo,PERSON,tech
microsoft,ORG,tech
early october october,DATE,tech
xfriend,DATE,tech
aol yahoo,PERSON,tech
microsoft,ORG,tech
radicati group,ORG,tech
sullivan,PERSON,tech
darfur,GPE,tech
respond consortium,ORG,tech
nasa,ORG,tech
stefan voigt,PERSON,tech
couple months,DATE,tech
herbert hansen,PERSON,tech
stephen candillon respond,PERSON,tech
clark boyd,PERSON,tech
bbc world,ORG,tech
britain,GPE,tech
matt lucas,PERSON,tech
august,DATE,tech
christmas,DATE,tech
last week,DATE,tech
later month,DATE,tech
four years,DATE,tech
game year,DATE,tech
vietnam,GPE,tech
unsung hero,ORG,tech
week,DATE,tech
crown,ORG,tech
annual,DATE,tech
last six years,DATE,tech
camberley surrey,PERSON,tech
wednesday,DATE,tech
friday,DATE,tech
december,DATE,tech
new jersey,GPE,tech
scott christie,PERSON,tech
argentina,GPE,tech
bulgaria,GPE,tech
canada,GPE,tech
estonia,GPE,tech
poland,GPE,tech
christie,ORG,tech
months,DATE,tech
july,DATE,tech
sony,ORG,business
ibm,ORG,business
three years,DATE,business
monday,DATE,business
san francisco,GPE,business
intel,ORG,business
toshiba,ORG,business
next year,DATE,business
ibm,ORG,business
later year,DATE,business
intel,ORG,business
later year,DATE,business
intel,ORG,business
steve kleynhans analyst,PERSON,business
meta group,ORG,business
ibm,ORG,business
britain,GPE,tech
matt lucas,PERSON,tech
august,DATE,tech
christmas,DATE,tech
last week,DATE,tech
later month,DATE,tech
four years,DATE,tech
game year,DATE,tech
vietnam,GPE,tech
unsung hero,ORG,tech
week,DATE,tech
crown,ORG,tech
annual,DATE,tech
last six years,DATE,tech
xbox,ORG,tech
peek,DATE,tech
microsoft,ORG,tech
xbox,ORG,tech
annual,DATE,tech
xbox,ORG,tech
xbox,ORG,tech
microsoft,ORG,tech
xbox,ORG,tech
xenon,PERSON,tech
november,DATE,tech
xbox,ORG,tech
microsoft,ORG,tech
xbox,ORG,tech
xbox,ORG,tech
xbox,ORG,tech
allard speech allard,PERSON,tech
bruce lee brute,PERSON,tech
apple,ORG,politics
mac mini,PERSON,politics
december,DATE,politics
apple,ORG,politics
jason,PERSON,politics
tom goldstein,PERSON,politics
school university,ORG,politics
dan gillmor,PERSON,politics
november,DATE,tech
mozilla foundation,ORG,tech
niels brinkman cofounder,PERSON,tech
new york,GPE,tech
first day,DATE,tech
october,DATE,tech
june,DATE,tech
microsoft,ORG,tech
paul randle,ORG,tech
microsoft windows,ORG,tech
safari,PERSON,tech
hollywood sue,ORG,entertainment
america,GPE,entertainment
united states,GPE,entertainment
united kingdom,GPE,entertainment
france,GPE,entertainment
finland,GPE,entertainment
netherlands,GPE,entertainment
last month,DATE,entertainment
ben verwaayen,PERSON,tech
summer,DATE,tech
past four months,DATE,tech
every day week,DATE,tech
next summer,DATE,tech
france,GPE,tech
germany,GPE,tech
netherlands,GPE,tech
jan vetham,PERSON,tech
vetham,PERSON,tech
japan,GPE,entertainment
bbc news,ORG,entertainment
last year,DATE,entertainment
chris,PERSON,entertainment
bbc,ORG,entertainment
association america,ORG,entertainment
december,DATE,entertainment
dallas,GPE,entertainment
december,DATE,entertainment
every year,DATE,entertainment
december,DATE,entertainment
mike mcguire,PERSON,business
gartner,ORG,business
bbc news,ORG,business
last year,DATE,business
summer,DATE,business
earlier month,DATE,tech
juri,PERSON,tech
last month,DATE,entertainment
keyboard mouse,PERSON,entertainment
safari,PERSON,entertainment
mark sparrow,PERSON,entertainment
mac format,PERSON,entertainment
keyboard mouse,PERSON,entertainment
graham barlow,PERSON,entertainment
mac format,PERSON,entertainment
mac mini,PERSON,entertainment
smart,ORG,tech
rellie,PERSON,tech
richard tateson,PERSON,tech
christmas,DATE,tech
britain,GPE,tech
rellie,PERSON,tech
sony,ORG,tech
matsushita samsung,PERSON,tech
marlin joint development association alliance,ORG,tech
ian fogg,PERSON,tech
taylor,PERSON,tech
taylor,PERSON,tech
november,DATE,tech
days earlier,DATE,tech
microsoft,ORG,tech
bbc news,ORG,tech
tim warner,PERSON,tech
finjan,ORG,tech
warner,ORG,tech
warner,ORG,tech
microsoft,ORG,tech
microsoft,ORG,tech
monthly,DATE,tech
microsoft,ORG,tech
stephen toulouse,PERSON,tech
patch fixes,ORG,tech
messenger msn messenger attacker,PERSON,tech
microsoft,ORG,tech
every month,DATE,tech
week,DATE,tech
builtin,ORG,tech
summer,DATE,tech
microsoft mobile,ORG,tech
year,DATE,tech
obermann,ORG,tech
mdas,ORG,tech
london,GPE,tech
nomad,PERSON,tech
early march,DATE,tech
april,DATE,tech
summer,DATE,tech
gner,ORG,tech
obermann added mobile,ORG,tech
france,GPE,tech
february,DATE,tech
norway,GPE,entertainment
countrys supreme court,ORG,entertainment
frank allan bruvik,PERSON,entertainment
napsterno website part school,PERSON,entertainment
august,DATE,entertainment
november,DATE,entertainment
sony,ORG,entertainment
supreme court,ORG,entertainment
week,DATE,entertainment
kazaa,PERSON,entertainment
bill thompson,PERSON,tech
anne childrens,PERSON,tech
network week ago,DATE,tech
five days,DATE,tech
wednesday,DATE,tech
modem installed computer,ORG,tech
bbc,ORG,tech
daily,DATE,tech
anne alone,PERSON,tech
april,DATE,tech
dialup users,PERSON,tech
earlier month,DATE,tech
south korea,GPE,tech
japan,GPE,tech
hong kong,GPE,tech
daily,DATE,tech
anne bill thompson,PERSON,tech
bbc world,ORG,tech
last year,DATE,tech
britain,GPE,tech
intel,ORG,tech
intel,ORG,tech
mario paniccia,PERSON,tech
haisheng rong richard,PERSON,tech
ansheng liu,PERSON,tech
cohen dani,PERSON,tech
intel,ORG,tech
sony,ORG,tech
matsushita samsung,PERSON,tech
marlin joint development association alliance,ORG,tech
ian fogg,PERSON,tech
taylor,PERSON,tech
taylor,PERSON,tech
months,DATE,business
nokia microsoft,ORG,business
france,GPE,business
britain,GPE,business
annual,DATE,tech
thoughts year,DATE,tech
sunday,DATE,tech
daily,DATE,tech
nikolai nolan,PERSON,tech
past five years,DATE,tech
bbc news,ORG,tech
first year,DATE,tech
blog year,DATE,tech
wonkette,PERSON,tech
london,GPE,tech
annual,DATE,tech
february,DATE,tech
november,DATE,business
later summer,DATE,business
summer,DATE,business
china,GPE,tech
less three years,DATE,tech
china,GPE,tech
china,GPE,tech
william makower,PERSON,tech
china,GPE,tech
china,GPE,tech
china,GPE,tech
china,GPE,tech
china,GPE,tech
china,GPE,tech
macintosh,ORG,tech
steve jobs,PERSON,tech
macworld speech,ORG,tech
san francisco,GPE,tech
mac mini,PERSON,tech
keyboard mouse,PERSON,tech
january,DATE,tech
keyboard mouse,PERSON,tech
several weeks,DATE,tech
january,DATE,tech
ian harris,PERSON,tech
mac format,PERSON,tech
ipod mac mini,ORG,tech
tuesday,DATE,tech
san francisco,GPE,entertainment
monday,DATE,entertainment
sony,ORG,entertainment
ibm,ORG,entertainment
three years,DATE,entertainment
sony,ORG,entertainment
sony,ORG,entertainment
los angeles,GPE,entertainment
last year,DATE,entertainment
kevin krewell,PERSON,entertainment
early next year,DATE,entertainment
san francisco,GPE,entertainment
ibm,ORG,entertainment
ken kutaragi,PERSON,entertainment
sony,ORG,entertainment
last year,DATE,entertainment
macintosh,ORG,tech
steve jobs,PERSON,tech
macworld speech,ORG,tech
san francisco,GPE,tech
mac mini,PERSON,tech
keyboard mouse,PERSON,tech
january,DATE,tech
keyboard mouse,PERSON,tech
several weeks,DATE,tech
january,DATE,tech
ian harris,PERSON,tech
mac format,PERSON,tech
ipod mac mini,ORG,tech
tuesday,DATE,tech
congress,ORG,business
last week,DATE,business
global mobile suppliers association,ORG,business
siemens,ORG,business
motorola mobile,ORG,business
alastair brydon,PERSON,business
motorola,ORG,business
last year,DATE,business
oliver valente,PERSON,business
multiyear,DATE,business
late last year,DATE,business
germany,GPE,business
next summer,DATE,business
siemens,ORG,business
siemens,ORG,business
today,DATE,business
christoph caselitz,PERSON,business
siemens,ORG,business
today,DATE,business
siemens,ORG,business
itv,ORG,entertainment
january,DATE,entertainment
nigel whalley,PERSON,entertainment
whalley bbc,PERSON,entertainment
ian fogg,PERSON,entertainment
